ax,ay,az,gx,gy,gz
12072,-11992,-16372,-7649,-4280,14528
10040,-13216,-4448,3622,6365,15416
-6748,-21400,-5288,6317,31320,16369
2236,-12176,-5512,115,4534,-8564
4384,-9104,2944,307,16274,-7458
3196,-10536,5124,-1968,18646,-1705
6012,-19748,6484,888,960,3888
4256,-13560,6672,-2659,2020,-3707
5024,-13756,8172,-3234,-10625,1418
7272,-40,18220,-77,-17191,-7342
14296,-4048,14056,-3345,-14621,-2640
19384,-9572,-5144,-3809,-18157,4283
12064,-16464,-10676,-1635,-1155,10041
11132,-13184,-8540,1916,7047,18124
8840,-21852,648,1563,19360,13384
1204,-9172,-13104,-5042,21921,-6587
1540,-7524,2864,-5459,22382,-3927
4292,-13612,6944,-1132,13009,800
5360,-15472,5268,-1877,879,5954
4692,-16972,4840,1481,-6508,3543
3260,-12944,7832,1451,-10978,1785
8648,-6228,19020,-699,-24558,-12453
9576,1000,9452,-4577,-7592,-10608
12320,-12020,-9392,-507,-20312,4088
11348,-9564,-10276,-3769,-7801,9971
12940,-13388,-10384,2023,2904,12889
3972,-17244,-13584,1250,9000,22343
1764,-19536,17116,912,20588,15311
-772,-11880,-6020,2959,16248,-9828
-1232,-12724,6868,4581,22026,-7545
2108,-15744,1612,1633,5173,-1071
3832,-13556,9484,-744,1354,-293
3400,-14184,7636,-1701,-6604,2814
2260,-12616,5352,-5612,-12092,4584
10408,-8216,2232,-125,-25339,-7654
11996,-9504,-20080,-7231,-23230,16300
11480,-10188,-9004,788,-1332,14725
3408,-20656,-7572,9979,17714,21415
4260,-19380,-12236,2531,-13406,6410
1164,-7760,2136,-1431,12198,-5065
2848,-10544,2640,1538,13525,-1438
4780,-17532,8992,-287,8094,3611
2012,-17420,3356,-1522,-4342,1643
4120,-14768,6916,-2749,-9171,-70
-1116,-9604,4740,-5945,-26484,9928
-8188,-16476,-15140,-3276,-4907,11249
11632,-1176,9960,-679,-24827,2018
14892,-8948,-5064,-3330,-25642,9521
11104,-12304,-8824,-1145,-7107,9700
8068,-10912,-11612,1698,-4017,14961
-236,-19144,-15356,-2967,10030,25620
-5192,-16404,1612,9695,26063,12833
-2124,-10664,-10016,1691,28822,-10816
1816,-9860,3068,1173,24062,-2866
4200,-12848,6640,-2524,12436,-1144
3732,-18084,9376,-941,6269,3858
5200,-16220,3972,198,-6775,-739
4380,-13220,6528,-1342,-11908,465
188,-10128,3040,-6514,-27120,11146
11120,-4424,8668,-1196,-7213,-9019
13260,-9192,-6908,-5487,-23580,9351
14016,-8428,-6876,-1554,-4450,10156
10572,-14300,-11212,2191,3824,13947
3224,-20636,-4364,5906,15359,20276
8944,-21656,2400,1401,-7087,16844
-5740,-12224,-2916,324,23071,-11953
-936,-12124,5476,2641,18616,-3121
928,-13668,13532,7168,7159,1394
1564,-14192,7996,-1877,1089,-3131
2264,-14992,7312,-4848,-4598,1332
3144,-14428,7872,-6047,-5268,-1208
1396,-13140,7032,-4866,-19425,4964
15848,-9652,-4808,-3845,545,8497
10240,-12704,-9600,1154,1250,3326
10476,-15344,-10304,-1812,-8358,13264
-2576,-21248,-7632,631,32258,24243
1656,-15392,-6112,7388,-15135,2290
-1820,-7056,-1104,4668,28348,-7364
2340,-12828,10288,2528,10073,124
3268,-14988,9108,994,3510,118
3908,-15332,6840,-5740,-116,-891
3940,-15808,8400,-5331,-2905,180
4132,-12700,8548,-3713,-15901,3009
-2936,-13780,-1576,-5241,-24211,6985
112,-16984,2928,-7090,9573,3826
15872,-6820,-1856,-3686,-16474,8471
13168,-13504,-10284,-2956,1674,10539
7984,-12076,-7816,334,1750,15491
-2512,-19268,-7760,4935,19667,21759
-5288,-17232,-21760,6689,-8930,-15918
2480,-8780,2244,-649,21663,-7520
4896,-12136,10536,4473,18425,-6276
4916,-12340,5512,-3130,9360,783
4552,-17188,8272,-4289,-5376,4330
4112,-13584,7244,-4572,-6678,-637
260,-12248,3464,-4248,-19977,3777
-7008,-13684,-10508,3469,-13211,5791
5208,-18200,4144,-15426,5639,4676
12184,-12092,-17896,1461,-2401,7830
8484,-10488,-11324,552,318,12233
5416,-14396,-13976,2583,8333,18805
-2900,-17400,3292,8033,30106,18540
-2224,-11536,-6692,2849,29508,-12507
-140,-10600,4712,1053,24822,-3947
3016,-12332,11592,3917,8865,-4472
4064,-13556,9896,-2132,1453,172
