ax, ay, az, gx, gy, gz, temp
-14624,-2364,3864,-93,9108,-775,268438473
-15184,-2512,3672,421,10011,-719,268438473
-14760,-2200,3020,838,11524,-151,268438473
-15548,-2136,2524,745,12642,-81,268438473
-15300,-2292,1780,-69,12141,366,268438473
-15040,-3044,696,12,8368,1125,268438473
-15836,-2352,1128,126,3883,1474,268438473
-16084,-1892,936,-335,3136,1142,268438473
-16096,-1676,0,-284,2643,778,268438473
-15980,-1748,168,224,2519,-22,268438473
-15596,-2068,280,238,1910,-161,268438473
-15512,-2316,-28,-223,717,192,268438473
-15768,-2140,136,-572,-1332,756,268438473
-15668,-2316,-328,-508,-3128,882,268438473
-15824,-2020,-8,-525,-6320,1182,268438473
-15948,-2152,544,-1039,-10272,1554,268438473
-15892,-1860,588,-1773,-12180,1572,268438473
-15760,-1784,1472,-2163,-10640,1671,268438473
-15628,-1512,3048,-2175,-11389,2083,268438473
-15944,-1744,3488,-784,-16626,1880,268438473
-14592,-1392,3916,-634,-18653,2859,268438473
-14908,-1668,5344,-1040,-20049,2952,268438473
-14664,-1316,6920,-1291,-22777,2460,268438473
-13324,-924,7628,-851,-21289,2391,268438473
-12884,-364,7928,-24,-20780,1872,268438473
-13328,-920,9080,1224,-22386,2189,268438473
-10964,-1732,10184,3217,-28503,2958,268438473
-9188,-432,11240,3473,-25536,2436,268438473
-8900,-44,11976,884,-18646,1262,268438473
-9592,-8,13728,-433,-16574,1802,268438473
-7676,-644,13724,707,-20008,4998,268438473
-5952,-396,12744,2373,-18716,5715,268438473
-6100,692,13616,2287,-16829,4241,268438473
-4672,508,15100,-1268,-16620,3896,268438473
-3436,-60,14976,-2578,-14830,1312,268438473
-3824,584,14576,-1874,-11224,172,268438473
-4576,540,15484,-1722,-13279,-141,268438473
-3136,608,17528,-968,-19120,-199,268438473
-1580,312,16120,400,-15753,-869,268438473
-776,-120,15348,1507,-17045,-1861,268438473
96,476,16776,1776,-16078,-2077,268438473
1344,-284,17292,-1492,-23643,917,268438473
2920,0,15388,-3661,-25780,2545,268438473
4564,-184,15144,-1879,-22363,1660,268438473
4768,796,16960,28,-16443,516,268438473
5688,-28,16428,-787,-13885,851,268438473
6340,-432,14376,-1099,-13274,1856,268438473
7068,-264,13952,-30,-15204,811,268438473
8028,-556,15156,569,-14198,-271,268438473
8724,-144,14680,822,-14647,881,268438473
9112,-156,13840,962,-11908,578,268438473
8852,-80,12972,-44,-12820,143,268438473
9632,-248,12952,-255,-13581,-121,268438473
11192,-212,12684,217,-13201,202,268438473
11180,-88,12512,1159,-11188,136,268438473
11128,132,12324,183,-10278,-869,268438473
11628,-464,11796,-38,-11444,-1346,268438473
12104,-712,11148,1482,-14602,-993,268438473
12096,276,10604,1814,-17974,-1302,268438473
12988,348,9856,2043,-21851,-1270,268438473
14496,628,8416,1612,-20435,-1688,268438473
15260,568,7372,1562,-16321,-709,268438473
15288,780,6296,1908,-15502,558,268438473
15424,564,5908,2016,-15437,1147,268438473
15792,416,5168,2058,-14234,686,268438473
15896,688,4248,2248,-14362,419,268438473
16168,800,3960,2285,-15628,535,268438473
16672,568,3052,2174,-17684,887,268438473
15992,756,2000,2183,-18854,1266,268438473
16584,444,1192,1997,-17085,1418,268438473
16900,468,0,1522,-15849,768,268438473
17052,260,-884,1697,-15100,768,268438473
16968,208,-1432,1465,-12825,960,268438473
16956,104,-1824,894,-11088,1369,268438473
17104,380,-2264,270,-10689,1059,268438473
17892,232,-2880,-198,-8436,532,268438473
17752,-84,-3376,-301,-4198,231,268438473
17300,-184,-3604,67,-116,-191,268438473
17200,-56,-3068,-240,4727,-185,268438473
17052,-128,-2820,-94,9776,-558,268438473
17108,-320,-1688,-177,15583,-1531,268438473
17332,-220,-536,-1093,21642,-2439,268438473
17748,448,572,-2237,24705,-3039,268438473
16272,1084,1368,-3443,25980,-2186,268438473
15612,864,1368,-3278,23291,-1124,268438473
15664,164,3028,-2011,26515,-1411,268438473
15768,852,5044,-1325,26049,-1527,268438473
15516,924,6380,-614,24545,-313,268438473
14692,780,7476,-306,25219,82,268438473
13756,292,8760,53,24552,-534,268438473
12728,516,9548,856,23981,-1126,268438473
12388,736,11184,1143,25136,-1558,268438473
11284,1504,12816,-112,25356,-1436,268438473
9536,856,13716,-1516,25452,-1639,268438473
9184,772,13672,-572,22814,-1666,268438473
8292,1028,13716,-241,17345,-1092,268438473
7292,1344,15156,71,15680,-890,268438473
6592,1676,15988,-449,16103,-1069,268438473
5308,844,15192,-1641,16155,-920,268438473
5012,540,15324,-851,16496,-1266,268438473
4184,1088,16004,-312,16620,-703,268438473
2568,1144,16396,-1055,16519,-626,268438473
1556,644,15512,-1280,16330,-615,268438473
1284,460,16128,-683,16431,-1585,268438473
256,700,16868,-384,18668,-2744,268438473
-688,308,16288,-846,16837,-2334,268438473
-1252,544,15580,-1136,12557,-1159,268438473
-2628,1092,16304,-1763,13718,-1460,268438473
-3224,500,15488,-1860,11933,-1489,268438473
-2692,520,15132,-629,10149,-886,268438473
-3312,488,14868,-124,9624,-744,268438473
-4196,424,15128,834,10383,-90,268438473
-5140,504,15056,655,10993,78,268438473
-5292,712,15216,-81,14078,-648,268438473
-6004,112,14644,-50,15521,-804,268438473
-7288,-28,13864,593,12319,583,268438473
-7340,464,14112,402,12025,326,268438473
-8316,692,14388,-387,15730,-838,268438473
-9500,328,12252,-285,15943,-1288,268438473
-9952,108,12160,284,13314,-524,268438473
-9136,452,12792,-376,14771,-1662,268438473
-10816,180,11640,-804,16671,-1413,268438473
-11308,-292,9876,19,14510,-476,268438473
-11852,148,9900,409,14788,-556,268438473
-12628,616,10576,-850,16927,-2391,268438473
-12432,-156,9080,-1794,16856,-2127,268438473
-13332,-748,7272,-926,13951,-81,268438473
-13628,-412,7296,-192,12066,59,268438473
-14632,272,6932,-1344,14066,-1610,268438473
-14428,-412,6152,-1719,14407,-2620,268438473
-13284,-348,5248,-647,15508,-1696,268438473
-14400,-620,4352,-1140,17188,-577,268438473
-15284,-680,3508,-1355,16284,-1411,268438473
-16300,-592,2116,-1736,15094,-1904,268438473
-15072,-704,1508,-1006,14011,-1737,268438473
-15188,-668,1332,-1266,13972,-1868,268438473
-15656,-980,124,-1741,13639,-1694,268438473
-16064,-1416,-1200,-1144,12423,-1843,268438473
-16424,-1420,-1536,20,10356,-1806,268438473
-15460,-1032,-1568,-149,10420,-2039,268438473
-15444,-1508,-2516,-214,10455,-2187,268438473
-15052,-1748,-3248,-153,9177,-1577,268438473
-15776,-1608,-4000,-127,6642,-901,268438473
-15868,-1932,-4200,-47,3042,-441,268438473
-16212,-1820,-4404,-197,-214,281,268438473
-15816,-1768,-4484,-275,-3408,394,268438473
-16184,-1732,-4476,3,-6439,919,268438473
-15624,-1592,-3820,72,-9442,1320,268438473
