-232,808,16068,-38,-189,34,268438473
-140,704,16208,-12,-191,-12,268438473
-232,788,16336,-34,-187,-1,268438473
-196,820,16212,-20,-160,-4,268438473
-164,788,16148,-29,-157,-1,268438473
-168,812,16184,-25,-165,24,268438473
-264,688,16184,-33,-173,9,268438473
-216,724,16212,-23,-196,-18,268438473
-212,760,16192,-32,-209,-2,268438473
-192,652,16120,-24,-169,-26,268438473
-176,724,16052,-31,-181,24,268438473
-216,772,16188,-25,-200,5,268438473
-272,776,16116,-26,-174,24,268438473
-148,804,16360,-45,-173,10,268438473
-116,792,16196,-22,-186,2,268438473
-228,744,16160,-41,-167,15,268438473
-224,712,16112,-45,-176,-4,268438473
-292,720,16212,5,-194,17,268438473
-240,804,16164,-14,-182,23,268438473
-220,796,16204,-61,-171,16,268438473
-228,808,16252,-22,-187,10,268438473
-224,824,16132,-38,-209,9,268438473
-2064,484,17144,248,-1595,512,268438473
-6104,-2484,16096,-579,-204,13432,268438473
2556,876,16232,-137,-10,3662,268438473
7312,4672,16212,-38,29,-4514,268438473
5472,1312,16400,185,-2064,-2999,268438473
7352,2884,16088,340,2232,-9128,268438473
-4036,1788,15960,-125,-251,-371,268438473
-8428,-4300,15756,-547,915,8490,268438473
-9196,-2884,15860,-283,-131,7460,268438473
-5360,-4400,16172,-702,584,12090,268438473
8276,8488,16144,-30,52,-1019,268438473
5308,3236,15784,461,143,-9230,268438473
7464,756,16520,753,-1156,-15727,268438473
-4456,1896,15608,276,-744,-5080,268438473
-2572,-4476,16080,-492,735,8826,268438473
-5628,-2748,16044,-348,-65,8177,268438473
-24,-568,16292,-423,297,5362,268438473
2228,7536,16076,304,-660,-6607,268438473
880,1572,16144,106,118,-5330,268438473
1844,664,16572,639,-1180,-7772,268438473
-2880,160,16024,46,-272,-1168,268438473
-392,596,16168,-33,-181,765,268438473
-328,756,16228,-69,-168,656,268438473
-296,688,16108,-25,-164,146,268438473
-136,856,16328,-32,-177,-92,268438473
104,704,16248,23,-215,-1172,268438473
2164,516,16172,312,-550,-5521,268438473
-2852,1264,15864,-60,-281,1927,268438473
-1784,124,16376,318,-1187,1056,268438473
-808,-544,16840,662,-2066,1180,268438473
-1252,876,17164,799,-7193,904,268438473
472,1100,18124,-72,-15446,221,268438473
724,1308,17472,34,-21728,124,268438473
2744,1200,15820,-18,-24230,117,268438473
4092,1016,14400,-5,-21540,-8,268438473
5220,620,14108,142,-16240,157,268438473
6096,856,14200,149,-11613,295,268438473
6352,292,15144,327,-10314,367,268438473
6636,1032,15212,362,-10396,350,268438473
6964,736,15396,460,-11909,206,268438473
7696,1272,14284,306,-13155,229,268438473
9224,748,14152,142,-13063,-210,268438473
9216,1192,13212,-87,-13152,-406,268438473
9512,784,12928,21,-11468,-328,268438473
9928,796,12928,198,-10572,14,268438473
10852,940,11704,4,-8848,-156,268438473
11060,1160,11720,-22,-5274,-199,268438473
11280,992,11824,-125,-3394,-391,268438473
11380,1072,10872,-246,-172,-522,268438473
10928,1704,11180,1,5817,-224,268438473
10664,812,11728,350,10804,251,268438473
9880,-116,12820,1407,14428,1443,268438473
9228,420,13628,2696,16556,2983,268438473
8808,1548,13956,3710,19590,2988,268438473
7276,1916,14872,3546,19162,2412,268438473
6316,2196,15192,2996,17356,1950,268438473
6272,1712,16172,2891,14832,1245,268438473
5712,1444,16568,3911,13646,178,268438473
4476,1984,15844,6186,17963,675,268438473
3332,3284,15132,8748,26447,426,268438473
736,2284,16036,8258,26812,-984,268438473
184,3120,16276,6441,20825,-2147,268438473
56,4564,24012,1320,13586,-1064,268438473
-256,3412,16380,820,16847,-874,268438473
-2160,3436,16888,490,22668,-452,268438473
-3420,3560,15912,804,26365,392,268438473
-4412,4268,13876,1053,23845,252,268438473
-5688,4108,12944,2020,16164,-278,268438473
-8256,3608,14928,2206,12808,-476,268438473
-7728,3832,13996,1971,21012,-588,268438473
-7996,3936,11436,2592,22759,-1202,268438473
-7256,4220,11024,3080,15150,-2344,268438473
-8092,3024,11264,2838,11382,-3090,268438473
-9824,2924,9920,388,9051,-1684,268438473
-10448,3532,10000,405,2915,-1864,268438473
-10436,3076,9888,-444,-1954,-1708,268438473
-9224,3108,11332,116,-9767,-1476,268438473
-10008,3776,11588,502,-18343,-984,268438473
-8540,3868,12040,534,-24384,-96,268438473
-7180,3436,12372,-282,-21277,491,268438473
-7900,3848,13044,-280,-20511,386,268438473
-6912,4012,14340,-125,-19301,412,268438473
-5784,3676,14656,737,-19885,1817,268438473
-4244,4176,14484,550,-19697,2866,268438473
-3416,3628,15032,-258,-16985,2920,268438473
-2680,3344,14912,-472,-17428,2988,268438473
