ax,ay,az,gx,gy,gz
3512,17736,-2704,-780,-6517,-1368
-6724,11124,-7296,-508,1343,3473
-2176,16144,-4196,-5866,11520,-4329
632,16228,-3772,4996,-19068,3398
-3004,13848,-3816,-4090,12978,-1505
1936,18756,236,-3505,-1136,-3809
-6804,11240,-6592,2486,-119,1776
-936,15564,-5396,69,10279,-4899
-2100,18720,-9584,3610,-23804,4088
-3732,13436,-3652,-108,16040,-3075
2852,17332,-952,-4958,-4256,-2782
-6916,10816,-10756,637,7650,-2613
2960,16280,3768,-3613,13957,-2635
-6188,17448,-11648,2845,-22962,14032
-384,14524,-7088,-754,16068,-6555
4528,17168,1716,3062,-13179,1888
-5584,12700,-8340,-4206,8047,1943
-1100,17992,-4108,3085,12079,-3889
-2092,18612,-8080,-1768,-25620,7156
-2184,13260,-3248,194,10733,-5222
-2992,16992,-5608,5436,20575,-2428
-656,17040,-868,911,-25554,7143
-2084,11348,-9008,-1699,10408,-1162
6184,20168,-1760,11623,27265,-5708
-2296,18036,-4644,5997,-32768,4564
-28,14224,-7404,2417,22130,-10257
1456,17700,-6532,7052,-32768,4085
-3780,10260,-6496,-40,16177,-5658
7952,19504,3076,-6890,-3087,3390
-8776,8092,-12428,-5065,13041,2680
15824,17808,2800,2620,11222,-4830
-3116,18804,-12120,1156,-15116,8313
-320,15088,-6116,3686,13600,-9811
1712,16688,-4344,2164,-22404,5934
-3456,13652,-5420,-1548,15641,-8639
4592,19996,684,-2917,-290,1797
-7468,9820,-8896,1064,-4985,5387
1520,15752,-7540,-1655,8540,-5472
-752,14676,-3048,8430,-32768,5227
-2772,11256,-3152,-1492,15350,-4960
680,18116,6708,-7192,22800,-4578
-8476,13472,-17072,1309,-6132,8665
-272,15844,-6596,581,11589,-5997
4456,18836,1304,-1157,-14421,3577
-5884,11080,-11360,-3532,10119,5430
7884,20520,-8056,8446,9463,2045
1016,14900,816,7968,-32768,14209
-3920,11656,-4000,-8220,23223,-19570
1508,16968,11360,-8312,18420,-1354
-8800,12300,-13576,372,-9802,6067
1564,18592,-9888,4552,10277,-7651
2064,14628,6192,14098,-31977,8855
-2516,11836,-4340,-4634,15385,-2556
7556,19200,-488,-3518,11240,-6635
-4160,19288,-7872,1873,-23398,9537
1420,16060,-8548,1227,16427,-7576
5732,14708,3752,-269,3774,-2123
-10876,13324,-11728,-3641,-7845,3338
-1348,18388,-5620,-138,11843,-2625
2240,16620,1812,10701,-32572,6083
