ax,ay,az,gx,gy,gz
2580,1964,-10272,4283,3708,-4511
5940,32767,4244,23632,17836,-2889
3144,16180,3320,7331,20356,630
1164,7764,5652,-1619,5905,10669
15208,21900,2564,-10419,21782,3647
1916,4824,-9384,5419,16392,1531
-8144,28632,2448,18471,32767,6712
472,19420,-1104,21266,11127,-2395
2292,11660,7796,2588,8936,833
11452,16524,4288,-19209,8422,-3932
7892,15028,-6320,-5581,-5252,577
16,8976,-5144,10976,16931,-3385
2612,27412,2196,22204,4453,-10039
1816,15440,3376,6610,17105,1205
1192,11640,9352,-10247,-2017,2279
9108,28524,7004,-19591,-13017,-823
1000,9840,-4980,-10196,-12129,4774
3940,17024,-6996,12289,15167,-5853
1144,32767,988,21415,18652,-1937
712,11620,9352,5358,16999,1460
-2144,15852,5432,-6450,-1525,-4035
4828,24632,2012,-16191,-17499,8202
440,6792,-2912,-12634,-18191,-2031
8036,25048,-5460,16377,13948,-6490
5288,18244,-380,5574,17696,701
-2044,5516,10828,2380,6505,2304
10752,30860,3792,-12138,-20888,-10663
-516,13920,756,-13016,-15744,4384
5352,3160,-8400,331,1717,-12880
3052,32767,920,18546,5776,-3559
2848,10388,-608,11581,9898,10491
664,15228,11472,-10665,-14700,-8907
8260,31152,7764,-23900,-15888,5331
-824,6460,-9652,-13116,-7593,78
2304,23708,-2272,19376,10405,-4281
10656,22648,4104,4494,12779,1229
-3972,3208,10972,-4273,7157,8718
10456,31476,5652,-9261,-15553,-11744
-1804,11908,132,-13179,-16676,150
1312,4908,-5556,3155,-9018,-10658
12680,27980,6596,17043,-7972,-2453
904,10816,3272,-2523,-10246,10638
-5160,9436,2380,-16931,-25198,2317
6044,30552,4584,-22832,-27741,2649
-1332,7196,-1652,-13031,-21192,-4435
7748,16184,-5400,-4563,-13765,-10372
8440,20536,-2412,9929,5550,-3340
4316,23016,2652,9098,8123,3202
1552,9740,5864,-4443,2154,748
8864,26996,8856,-12049,-19725,-2594
3208,13496,-6180,-9891,-9894,3856
3800,7860,-10384,12490,3634,-2482
5320,31008,5132,13833,16787,2735
3216,6072,6488,-3102,6920,4319
8476,29372,-2204,-11682,-7523,-18102
2812,16804,-4728,-5956,-15355,3706
1240,3344,-10940,7488,13978,-5961
4372,28656,7524,14517,12097,-2306
1488,8624,5948,-3609,11530,5055
16440,25144,14920,-12571,-2568,-5789
-2052,14644,-4300,-13726,-17007,336
6008,2836,-12964,1558,3550,-11637
