ax,ay,az,gx,gy,gz
9712,-18892,492,19269,-15517,-19341
9136,-13724,15768,32767,-29731,-29007
6512,-6476,-11760,4617,-6094,7064
5072,-12520,8112,-19713,9536,21721
13536,-29472,8880,-32768,31252,32767
-1956,-16420,712,-3407,26188,-16690
1852,-10752,840,1143,-16739,10868
580,-30952,-4980,17402,9644,12668
1152,-11668,-3808,908,-10296,-24684
10768,-14792,5276,5225,-1242,-2851
-316,-15128,-368,7264,3203,988
5860,-17272,-7068,-2125,-17030,17552
948,-22652,2144,3906,9023,-5456
3268,-14720,4292,-6864,6789,-142
13800,-20492,14516,6426,9978,-9443
3220,-20956,13476,32767,-32768,-30600
7936,-8848,-7084,19647,-20834,-28443
2804,-7144,-13756,-16421,9141,24952
-3840,-25676,3536,-17359,32767,32767
8360,-28900,17148,-28855,32767,15064
12316,-16532,6044,-11174,3670,11754
1804,-14576,-2032,19402,-22043,-12547
5080,-12696,1192,14884,-11106,-8435
1228,-20280,-3232,10712,-13648,9383
2232,-14216,500,-4910,3054,9427
4552,-22676,-3920,-8255,1823,-2945
4356,-9592,-980,12314,18982,-10321
-1408,-13920,456,510,-6306,148
4676,-22376,-2688,-22169,20718,24071
13220,-18104,10788,-5737,15026,-12127
15016,-12624,16804,32767,631,-27183
13496,-29512,5872,32767,-19942,-8622
15572,-6520,1268,32767,-10337,5621
9416,-7168,632,21738,-1654,15317
-3220,-14480,7408,-10763,14639,32767
-21764,-32768,24144,-3985,32767,28367
11828,-8028,7860,6064,14546,-6098
1056,-10276,-5244,9957,1842,-10663
13284,-14412,3484,6351,-1008,-1710
7352,-20248,-1496,-1165,-3749,2957
1252,-3656,-484,-6169,-3440,5368
14524,-28908,4040,2590,-965,8054
4732,-13896,-160,8467,8681,-13072
1260,-3420,1476,-2013,-4658,-1662
7216,-23516,-212,-7763,-9332,19342
644,-19928,-2676,2868,9779,-1907
1608,-3908,3200,5575,3970,-21053
-1596,-22956,-9796,-9576,3029,24590
-820,-21272,8248,-16051,31604,-9272
12024,-14444,-240,1266,12950,-8820
20664,-17652,19712,32767,10049,-25991
4540,-14464,10384,32767,-32768,-15039
2268,8404,-16444,1883,20529,-8449
7096,7952,5496,-20726,-32768,10530
5584,6732,-6000,-24363,-15204,19693
8168,30928,-9648,-7346,-28914,25418
4860,552,-16704,3586,-1451,32767
13160,-1092,-4212,10917,-19998,16237
564,-10168,-4428,12720,-29992,-3436
-29372,-14548,-32768,5875,-12798,1968
-11272,-12880,1700,20682,32767,-13345
20508,-7344,17848,-8689,32493,-5802
9996,-16424,6292,15012,-5819,-15231
11484,-21964,15176,32767,-29049,-19900
14112,-16068,-10008,21382,-26346,-22257
5676,-10260,-13500,-1533,15062,12256
3996,-29628,2800,-10583,32767,32767
4664,-26244,-2360,-32768,20920,32767
10176,-4988,8044,-4026,10294,-2083
7500,-17088,1560,9024,-10920,1477
7284,-23676,2548,9752,-26202,-4621
-5132,-5352,-5120,5585,-15095,-2630
-1760,-28112,-11012,-876,1739,11988
9216,-6440,2480,4489,17853,-8274
3124,-12072,1368,9919,526,-8920
6348,-18344,2976,-8019,-6869,18774
6212,-11788,5076,6546,3573,-18482
7064,-18016,2408,2479,-5969,1368
1852,-7996,-576,-3729,-5963,7057
5096,-26832,-1904,-2624,-8145,4163
1336,-15076,-1484,2899,2160,-6806
3796,-5964,2228,4042,-1355,-7936
9128,-26708,-2508,-1528,9515,5594
4932,-13032,-1624,-2346,7177,-2228
3636,-7348,2372,7254,-6468,-12526
12836,-24376,6728,-5780,11930,14393
3408,-14004,368,-163,1053,1849
3272,-13808,3060,10541,-20375,-8313
-6776,-17568,-12060,-21544,24535,32767
14720,-14248,10656,-22380,32767,-18513
8376,-29520,32767,32767,-32768,-6671
5628,-19036,13776,32767,-25935,-32768
7352,-8520,-10016,10845,-17960,-3208
1160,-9408,-84,-17088,22161,32767
14020,-32768,11848,-32529,32767,32767
12008,12,28724,16141,-2867,-7010
-1592,-27548,17056,29232,-32768,7860
-9444,-24632,-12308,-9552,-32768,-32768
2276,-22748,-12900,-10337,16497,27706
-12988,-17420,4664,-29224,22373,20650
1168,-16516,1156,-32768,32767,10248
4640,-18352,-2260,13911,32767,18419
15584,-22120,5672,19925,-10434,-32089
10832,-20768,-36,32767,-24206,-32768
2456,-5036,-11316,32767,-2895,-32768
1924,2656,-12240,5642,22474,7754
-3936,-7652,288,20167,28206,32767
2808,-32768,8792,-17948,32767,28457
11388,-2040,32767,-28644,32767,-32768
